Regioncode,Regiao,CT
3,Noronha,20.3
3,Noronha,8.1
3,Noronha,8.87
3,Noronha,11.86
3,Noronha,12.22
3,Noronha,12.2
3,Noronha,12.5
3,Noronha,12.4
3,Noronha,13.2
3,Noronha,14.1
3,Noronha,13.4
3,Noronha,14.9
3,Noronha,15.4
3,Noronha,16.1
3,Noronha,17.2
3,Noronha,17.5
3,Noronha,16.1
3,Noronha,18.7
3,Noronha,17.8
3,Noronha,19.3
3,Noronha,18.6
3,Noronha,19.4
3,Noronha,17.6
3,Noronha,16.2
3,Noronha,17.4
3,Noronha,21.8
3,Noronha,20.7
3,Noronha,18.7
3,Noronha,19.2
3,Noronha,20.3
3,Noronha,19.8
3,Noronha,25.6
3,Noronha,24.6
3,Noronha,21.7
3,Noronha,23.6
3,Noronha,21.2
3,Noronha,26.4
3,Noronha,25.2
3,Noronha,26.5
3,Noronha,26.9
3,Noronha,31.2
3,Noronha,24.5
3,Noronha,27
3,Noronha,26.4
3,Noronha,29
3,Noronha,28.5
3,Noronha,25.7
1,Norte,35.6
1,Norte,34.8
1,Norte,33.1
1,Norte,21.5
1,Norte,37
1,Norte,27.1
1,Norte,32.1
1,Norte,27
1,Norte,26.2
1,Norte,24.5
1,Norte,31.1
1,Norte,30.5
1,Norte,28.5
1,Norte,34.7
1,Norte,35
1,Norte,28.4
1,Norte,20
1,Norte,36
2,NE,14.0
2,NE,13.8
2,NE,14.1
2,NE,14.2
2,NE,14.1
2,NE,12.9
2,NE,14.1
2,NE,14.1
2,NE,14.4
2,NE,15
2,NE,14.5
2,NE,17
2,NE,17
2,NE,13.0
2,NE,17.7
2,NE,14
2,NE,14
2,NE,14
2,NE,14
2,NE,14
2,NE,14
2,NE,14
2,NE,14
2,NE,14
2,NE,14
2,NE,14
2,NE,14
2,NE,14
2,NE,15.5
2,NE,14
2,NE,14
2,NE,14
2,NE,14
2,NE,14
2,NE,14
2,NE,14
2,NE,14
2,NE,14
2,NE,14.5
2,NE,15.5
2,NE,14.5
2,NE,14.5
2,NE,14
2,NE,14
2,NE,14
2,NE,14
2,NE,14
2,NE,14
2,NE,14
2,NE,14
2,NE,14
2,NE,14
2,NE,14
2,NE,14
2,NE,12
2,NE,14
2,NE,14
2,NE,14
2,NE,14
2,NE,14
2,NE,14
2,NE,17.5
2,NE,18
2,NE,15.5
2,NE,16.5
2,NE,17
2,NE,15
2,NE,14
2,NE,18
2,NE,18
2,NE,20
2,NE,15
2,NE,15
2,NE,14
2,NE,16
2,NE,16
2,NE,16
2,NE,20
2,NE,20
2,NE,20
2,NE,17
2,NE,17
2,NE,17
2,NE,18
2,NE,18
2,NE,12
2,NE,13
2,NE,15